key,county,countyID,year,ext_heat_days
0,Apache,04001,2011,19
1,Apache,04001,2012,19
2,Apache,04001,2013,18
3,Apache,04001,2014,5
4,Apache,04001,2015,18
5,Apache,04001,2016,16
6,Apache,04001,2017,16
7,Apache,04001,2018,31
8,Apache,04001,2019,23
9,Apache,04001,2020,38
10,Apache,04001,2021,24
11,Cochise,04003,2011,34
12,Cochise,04003,2012,25
13,Cochise,04003,2013,19
14,Cochise,04003,2014,4
15,Cochise,04003,2015,14
16,Cochise,04003,2016,19
17,Cochise,04003,2017,17
18,Cochise,04003,2018,18
19,Cochise,04003,2019,26
20,Cochise,04003,2020,35
21,Cochise,04003,2021,16
22,Coconino,04005,2011,17
23,Coconino,04005,2012,20
24,Coconino,04005,2013,16
25,Coconino,04005,2014,4
26,Coconino,04005,2015,19
27,Coconino,04005,2016,17
28,Coconino,04005,2017,16
29,Coconino,04005,2018,28
30,Coconino,04005,2019,22
31,Coconino,04005,2020,36
32,Coconino,04005,2021,22
33,Gila,04007,2011,30
34,Gila,04007,2012,27
35,Gila,04007,2013,16
36,Gila,04007,2014,3
37,Gila,04007,2015,15
38,Gila,04007,2016,22
39,Gila,04007,2017,14
40,Gila,04007,2018,24
41,Gila,04007,2019,31
42,Gila,04007,2020,48
43,Gila,04007,2021,22
44,Graham,04009,2011,28
45,Graham,04009,2012,22
46,Graham,04009,2013,14
47,Graham,04009,2014,3
48,Graham,04009,2015,13
49,Graham,04009,2016,19
50,Graham,04009,2017,15
51,Graham,04009,2018,22
52,Graham,04009,2019,24
53,Graham,04009,2020,48
54,Graham,04009,2021,16
55,Greenlee,04011,2011,25
56,Greenlee,04011,2012,22
57,Greenlee,04011,2013,17
58,Greenlee,04011,2014,4
59,Greenlee,04011,2015,14
60,Greenlee,04011,2016,18
61,Greenlee,04011,2017,17
62,Greenlee,04011,2018,19
63,Greenlee,04011,2019,24
64,Greenlee,04011,2020,46
65,Greenlee,04011,2021,16
66,La Paz,04012,2011,22
67,La Paz,04012,2012,15
68,La Paz,04012,2013,13
69,La Paz,04012,2014,3
70,La Paz,04012,2015,20
71,La Paz,04012,2016,27
72,La Paz,04012,2017,22
73,La Paz,04012,2018,19
74,La Paz,04012,2019,22
75,La Paz,04012,2020,39
76,La Paz,04012,2021,23
77,Maricopa,04013,2011,28
78,Maricopa,04013,2012,21
79,Maricopa,04013,2013,13
80,Maricopa,04013,2014,2
81,Maricopa,04013,2015,16
82,Maricopa,04013,2016,23
83,Maricopa,04013,2017,19
84,Maricopa,04013,2018,19
85,Maricopa,04013,2019,26
86,Maricopa,04013,2020,45
87,Maricopa,04013,2021,22
88,Mohave,04015,2011,18
89,Mohave,04015,2012,14
90,Mohave,04015,2013,18
91,Mohave,04015,2014,4
92,Mohave,04015,2015,15
93,Mohave,04015,2016,25
94,Mohave,04015,2017,22
95,Mohave,04015,2018,22
96,Mohave,04015,2019,22
97,Mohave,04015,2020,36
98,Mohave,04015,2021,26
99,Navajo,04017,2011,21
100,Navajo,04017,2012,20
101,Navajo,04017,2013,16
102,Navajo,04017,2014,3
103,Navajo,04017,2015,19
104,Navajo,04017,2016,20
105,Navajo,04017,2017,15
106,Navajo,04017,2018,29
107,Navajo,04017,2019,27
108,Navajo,04017,2020,41
109,Navajo,04017,2021,21
110,Pima,04019,2011,32
111,Pima,04019,2012,27
112,Pima,04019,2013,14
113,Pima,04019,2014,4
114,Pima,04019,2015,13
115,Pima,04019,2016,21
116,Pima,04019,2017,17
117,Pima,04019,2018,17
118,Pima,04019,2019,28
119,Pima,04019,2020,50
120,Pima,04019,2021,16
121,Pinal,04021,2011,31
122,Pinal,04021,2012,24
123,Pinal,04021,2013,13
124,Pinal,04021,2014,2
125,Pinal,04021,2015,15
126,Pinal,04021,2016,26
127,Pinal,04021,2017,16
128,Pinal,04021,2018,21
129,Pinal,04021,2019,26
130,Pinal,04021,2020,49
131,Pinal,04021,2021,21
132,Santa Cruz,04023,2011,37
133,Santa Cruz,04023,2012,29
134,Santa Cruz,04023,2013,17
135,Santa Cruz,04023,2014,6
136,Santa Cruz,04023,2015,12
137,Santa Cruz,04023,2016,21
138,Santa Cruz,04023,2017,15
139,Santa Cruz,04023,2018,17
140,Santa Cruz,04023,2019,24
141,Santa Cruz,04023,2020,33
142,Santa Cruz,04023,2021,14
143,Yavapai,04025,2011,24
144,Yavapai,04025,2012,27
145,Yavapai,04025,2013,19
146,Yavapai,04025,2014,3
147,Yavapai,04025,2015,17
148,Yavapai,04025,2016,22
149,Yavapai,04025,2017,16
150,Yavapai,04025,2018,19
151,Yavapai,04025,2019,26
152,Yavapai,04025,2020,35
153,Yavapai,04025,2021,22
154,Yuma,04027,2011,25
155,Yuma,04027,2012,17
156,Yuma,04027,2013,12
157,Yuma,04027,2014,6
158,Yuma,04027,2015,22
159,Yuma,04027,2016,24
160,Yuma,04027,2017,21
161,Yuma,04027,2018,19
162,Yuma,04027,2019,22
163,Yuma,04027,2020,36
164,Yuma,04027,2021,24
